"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3157","CP08 - Validar que al seleccionar una categoría solo se muestren productos de esa categoría","Surefire suite","Wed May 14 09:09:28 CST 2025","passed","Wed May 14 09:09:31 CST 2025","com.demoblaze.tests.NavigationTests","Surefire test","com.demoblaze.tests.NavigationTests","testSoloProductosDeCategoriaPhones"
"","40","CP07 - Validar que el sitio muestre las categorías 'Laptops', 'Phones' y 'Monitors'","Surefire suite","Wed May 14 09:09:16 CST 2025","passed","Wed May 14 09:09:16 CST 2025","com.demoblaze.tests.NavigationTests","Surefire test","com.demoblaze.tests.NavigationTests","testCategoriasVisibles"
"","2943","CP16 - Verificar que se pueda añadir un producto al carrito desde la página de detalles.","Surefire suite","Wed May 14 09:08:48 CST 2025","passed","Wed May 14 09:08:51 CST 2025","com.demoblaze.tests.CartTests","Surefire test","com.demoblaze.tests.CartTests","testAgregarDesdeDetalle"
"","2822","CP14 - Verificar que al hacer clic en ""Añadir al carrito"", el producto se agregue correctamente.","Surefire suite","Wed May 14 09:08:53 CST 2025","passed","Wed May 14 09:08:56 CST 2025","com.demoblaze.tests.CartTests","Surefire test","com.demoblaze.tests.CartTests","testAgregarProductoAlCarrito"
"","6565","CP06 - Validar que el usuario sea bloqueado después de cinco intentos fallidos de inicio de sesión.","Surefire suite","Wed May 14 09:08:59 CST 2025","failed","Wed May 14 09:09:06 CST 2025","com.demoblaze.tests.LoginTests","Surefire test","com.demoblaze.tests.LoginTests","testBloqueoTrasCincoIntentosFallidos"
"","1305","CP05 - Validar que se muestre un mensaje de error al iniciar sesión con credenciales incorrectas.","Surefire suite","Wed May 14 09:09:07 CST 2025","passed","Wed May 14 09:09:08 CST 2025","com.demoblaze.tests.LoginTests","Surefire test","com.demoblaze.tests.LoginTests","testLoginConCredencialesIncorrectas"
"","3818","CP04 - Validar que el inicio de sesión funcione con credenciales correctas.","Surefire suite","Wed May 14 09:09:10 CST 2025","passed","Wed May 14 09:09:13 CST 2025","com.demoblaze.tests.LoginTests","Surefire test","com.demoblaze.tests.LoginTests","testLoginExitoso"
"","1199","CP02 - Verificar que el correo electrónico tenga un formato válido.","Surefire suite","Wed May 14 09:09:43 CST 2025","broken","Wed May 14 09:09:44 CST 2025","com.demoblaze.tests.RegisterTests","Surefire test","com.demoblaze.tests.RegisterTests","testFormatoUsuarioInvalido"
"","787","CP09 - Verificar que cada producto muestre imagen, nombre y precio","Surefire suite","Wed May 14 09:09:17 CST 2025","passed","Wed May 14 09:09:18 CST 2025","com.demoblaze.tests.NavigationTests","Surefire test","com.demoblaze.tests.NavigationTests","testInformacionVisiblePorProducto"
"","1436","CP12 - Verificar que al seleccionar un producto se muestre su nombre, descripción, precio e imagen ampliada.","Surefire suite","Wed May 14 09:09:35 CST 2025","passed","Wed May 14 09:09:36 CST 2025","com.demoblaze.tests.ProductDetailTests","Surefire test","com.demoblaze.tests.ProductDetailTests","testDetalleProductoVisible"
"","1348","CP13 - Validar que la página de detalle incluya el botón 'Add to cart'.","Surefire suite","Wed May 14 09:09:32 CST 2025","passed","Wed May 14 09:09:33 CST 2025","com.demoblaze.tests.ProductDetailTests","Surefire test","com.demoblaze.tests.ProductDetailTests","testBotonAddToCartVisible"
"","6178","CP11 - Validar que la navegación entre categorías sea dinámica sin recargar toda la página.","Surefire suite","Wed May 14 09:09:20 CST 2025","passed","Wed May 14 09:09:26 CST 2025","com.demoblaze.tests.NavigationTests","Surefire test","com.demoblaze.tests.NavigationTests","testNavegacionDinamicaEntreCategorias"
"","1184","CP01 - Validar que todos los campos sean obligatorios en el registro de usuario.","Surefire suite","Wed May 14 09:09:37 CST 2025","passed","Wed May 14 09:09:38 CST 2025","com.demoblaze.tests.RegisterTests","Surefire test","com.demoblaze.tests.RegisterTests","testCamposObligatoriosVacios"
"","1024","CP15 - Validar que exista una opción clara para regresar a la lista de productos desde la página de detalle.","Surefire suite","Wed May 14 09:08:57 CST 2025","passed","Wed May 14 09:08:58 CST 2025","com.demoblaze.tests.CartTests","Surefire test","com.demoblaze.tests.CartTests","testRegresarAListaDesdeDetalle"
"","30","CP10 - Validar que el sistema no muestre productos si la categoría está vacía.","Surefire suite","Wed May 14 09:09:14 CST 2025","passed","Wed May 14 09:09:15 CST 2025","com.demoblaze.tests.NavigationTests","Surefire test","com.demoblaze.tests.NavigationTests","testCategoriaVacia"
"","2246","CP03 - Validar que la contraseña cumpla con las reglas de complejidad.","Surefire suite","Wed May 14 09:09:40 CST 2025","failed","Wed May 14 09:09:42 CST 2025","com.demoblaze.tests.RegisterTests","Surefire test","com.demoblaze.tests.RegisterTests","testContrasenaInvalida"
